2023:12:06 12:06:38 ===> File Opened Successfully

2023:12:06 12:06:38 ===> Calling AEDController Constructor
2023:12:06 12:06:38 ===> Main Function
2023:12:06 12:06:45 ===> AED Powering On
2023:12:06 12:06:46 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:46 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:46 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:46 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:46 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:47 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:47 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:47 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:47 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:47 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:48 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:48 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:48 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:48 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:48 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:49 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:49 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:49 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:49 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:49 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:50 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:50 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:50 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:50 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:50 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:51 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:51 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:51 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:51 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:51 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:52 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:52 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:52 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:52 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:52 ===> Attempting To Place Pads
2023:12:06 12:06:52 ===> Pad Placement Failed: Applied Incorrectly
2023:12:06 12:06:52 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:53 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:53 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:53 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:53 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:54 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:54 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:54 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:54 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:54 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:55 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:55 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:55 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:55 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:55 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:56 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:56 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:56 ===> Attempting To Place Pads
2023:12:06 12:06:56 ===> Pad Placement Failed: Applied Incorrectly
2023:12:06 12:06:56 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:56 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:56 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:57 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:57 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:57 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:57 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:57 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:58 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:58 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:58 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:58 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:58 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:59 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:59 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:59 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:59 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:59 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:00 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:00 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:00 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:00 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:00 ===> Attempting To Place Pads
2023:12:06 12:06:00 ===> Placing Adult Pads
2023:12:06 12:06:00 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:01 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:01 ===> AEDController Looping As 139811666822720
2023:12:06 12:06:01 ===> AEDController Looping As 139811666822720
